Plate,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,sample_well
GEP4,6,E,2,NA,200141,NA,72-1,Seracen,16,E6
GEP4,7,E,2,NA,200149,NA,72-1,Macro,16,E7
GEP4,8,E,2,NA,200157,NA,72-1,Wakanui,16,E8
GEP4,9,E,2,NA,200165,NA,96-1,Amarok,16,E9
GEP4,1,F,2,NA,200102,NA,52-2,Wakanui,16,F1
GEP4,10,F,2,NA,200174,NA,96-2,Aspiring,16,F10
GEP4,11,F,2,NA,200182,NA,96-2,Consort,16,F11
GEP4,12,F,2,NA,NA,NA,NA,NA,NA,F12
GEP4,2,F,2,NA,200110,NA,52-2,Amarok,16,F2
GEP4,3,F,2,NA,200118,NA,52-2,Seracen,16,F3
GEP4,4,F,2,NA,200126,NA,52-2,CRWT 153,16,F4
GEP4,5,F,2,NA,200134,NA,72-2,CRWT 153,16,F5
GEP4,6,F,2,NA,200142,NA,72-2,Seracen,16,F6
GEP4,7,F,2,NA,200150,NA,72-2,Macro,16,F7
GEP4,8,F,2,NA,200158,NA,72-2,Wakanui,16,F8
GEP4,9,F,2,NA,200166,NA,96-2,Amarok,16,F9
GEP4,1,G,2,NA,200103,NA,52-3,Wakanui,16,G1
GEP4,10,G,2,NA,200175,NA,96-3,Aspiring,16,G10
GEP4,11,G,2,NA,200183,NA,96-3,Consort,16,G11
GEP4,12,G,2,NA,NA,NA,NA,NA,NA,G12
GEP4,2,G,2,NA,200111,NA,52-3,Amarok,16,G2
GEP4,3,G,2,NA,200119,NA,52-3,Seracen,16,G3
GEP4,4,G,2,NA,200127,NA,52-3,CRWT 153,16,G4
GEP4,5,G,2,NA,200135,NA,72-3,CRWT 153,16,G5
GEP4,6,G,2,NA,200143,NA,72-3,Seracen,16,G6
GEP4,7,G,2,NA,200151,NA,72-3,Macro,16,G7
GEP4,8,G,2,NA,200159,NA,72-3,Wakanui,16,G8
GEP4,9,G,2,NA,200167,NA,96-3,Amarok,16,G9
GEP4,1,H,2,NA,200104,NA,52-4,Wakanui,16,H1
GEP4,10,H,2,NA,200176,NA,96-4,Aspiring,16,H10
GEP4,11,H,2,NA,200184,NA,96-4,Consort,16,H11
GEP4,12,H,2,NA,NA,NA,NA,NA,NA,H12
GEP4,2,H,2,NA,200112,NA,52-4,Amarok,16,H2
GEP4,3,H,2,NA,200120,NA,52-4,Seracen,16,H3
GEP4,4,H,2,NA,200128,NA,52-4,CRWT 153,16,H4
GEP4,5,H,2,NA,200136,NA,72-4,CRWT 153,16,H5
GEP4,6,H,2,NA,200144,NA,72-4,Seracen,16,H6
GEP4,7,H,2,NA,200152,NA,72-4,Macro,16,H7
GEP4,8,H,2,NA,200160,NA,72-4,Wakanui,16,H8
GEP4,9,H,2,NA,200168,NA,96-4,Amarok,16,H9
GEP5,1,A,3,196,300196,2014-05-16,None,CRWT153,16,A1
