"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"136","D7","BW",12,27.0593776702881,33.3999328613281,NA,NA,NA,6.34055519104004,NA
"137","D8","BS",3,25.917552947998,32.3310470581055,27.1386375427246,29.970308303833,1.22108459472656,6.41349411010742,1.05275535583496
"138","D8","BS",6,25.3037261962891,31.9150238037109,26.6358165740967,29.8705615997314,1.33209037780762,6.61129760742188,1.56683540344238
"139","D8","BW",9,25.0452270507812,30.3206348419189,NA,NA,NA,5.2754077911377,NA
"140","D8","BW",12,26.9284286499023,NA,NA,NA,NA,NA,NA
"141","D9","BS",3,25.9669170379639,32.9742622375488,27.321044921875,30.5143222808838,1.35412788391113,7.00734519958496,1.54740524291992
"142","D9","BS",6,25.39599609375,31.8972511291504,26.7739505767822,30.3848552703857,1.37795448303223,6.50125503540039,1.98885917663574
"143","D9","BW",9,25.0964736938477,30.3611068725586,NA,NA,NA,5.26463317871094,NA
"144","D9","BW",12,27.0764064788818,33.7596015930176,NA,NA,NA,6.68319511413574,NA
"145","E1","BS",1,26.4986839294434,32.480281829834,27.8394451141357,32.3738899230957,1.34076118469238,5.98159790039062,2.87520599365234
"146","E1","BS",4,25.5363636016846,NA,27.125940322876,NA,1.58957672119141,NA,NA
"147","E1","BW",7,25.5185413360596,NA,NA,NA,NA,NA,NA
"148","E1","BW",10,25.7284736633301,NA,NA,NA,NA,NA,NA
"149","E2","BS",1,26.5843448638916,32.3216819763184,27.9150466918945,31.9045848846436,1.33070182800293,5.73733711242676,2.32024002075195
"150","E2","BS",4,25.5281829833984,31.214448928833,26.9770622253418,NA,1.44887924194336,5.68626594543457,NA
"151","E2","BW",7,25.3873023986816,29.1433773040771,NA,NA,NA,3.75607490539551,NA
"152","E2","BW",10,25.5742530822754,31.8453922271729,NA,NA,NA,6.27113914489746,NA
"153","E3","BS",1,26.4858722686768,NA,27.6650638580322,32.210578918457,1.17919158935547,NA,2.72470664978027
"154","E3","BS",4,25.4650993347168,30.9732456207275,26.9303169250488,NA,1.46521759033203,5.50814628601074,NA
"155","E3","BW",7,25.4240970611572,29.280065536499,NA,NA,NA,3.8559684753418,NA
"156","E3","BW",10,25.7160034179688,32.1034278869629,NA,NA,NA,6.38742446899414,NA
"157","E4","BS",5,25.9474086761475,NA,27.6100196838379,31.860595703125,1.66261100769043,NA,2.91318702697754
"158","E4","BS",8,24.9632225036621,33.1512413024902,27.5081672668457,31.1475772857666,2.54494476318359,8.18801879882812,3.18435478210449
"159","E4","BW",2,26.1245193481445,30.9057292938232,NA,NA,NA,4.78120994567871,NA
"160","E4","BW",11,25.893238067627,NA,NA,NA,NA,NA,NA
"161","E5","BS",5,25.9708786010742,NA,27.7328281402588,32.2252502441406,1.76194953918457,NA,3.25437164306641
"162","E5","BS",8,24.779935836792,32.7888145446777,27.5922527313232,30.8955841064453,2.81231689453125,8.00887870788574,3.11564826965332
"163","E5","BW",2,26.2801570892334,31.1115856170654,NA,NA,NA,4.83142852783203,NA
"164","E5","BW",11,26.0826263427734,31.3352527618408,NA,NA,NA,5.25262641906738,NA
"165","E6","BS",5,25.9237327575684,33.9234046936035,27.5085735321045,32.1614151000977,1.58484077453613,7.99967193603516,3.2376823425293
"166","E6","BS",8,25.1091461181641,NA,27.5739593505859,31.5824222564697,2.46481323242188,NA,3.47327613830566
"167","E6","BW",2,26.1750202178955,31.4201602935791,NA,NA,NA,5.24514007568359,NA
"168","E6","BW",11,25.9697647094727,31.5122146606445,NA,NA,NA,5.54244995117188,NA
"169","E7","BS",3,25.3357124328613,NA,26.6628170013428,31.5735301971436,1.32710456848145,NA,3.23781776428223
"170","E7","BS",6,25.8087120056152,NA,27.2423667907715,30.2400245666504,1.43365478515625,NA,1.43131256103516
"171","E7","BS",9,25.0861282348633,32.0027847290039,28.0034847259521,31.2922306060791,2.91735649108887,6.91665649414062,3.20610237121582
"172","E7","BW",12,27.1164836883545,NA,NA,NA,NA,NA,NA
"173","E8","BS",3,25.2862529754639,32.1687316894531,26.5422306060791,31.2973556518555,1.25597763061523,6.88247871398926,3.0111026763916
"174","E8","BS",6,25.8817920684814,33.7653923034668,26.9727153778076,29.5330009460449,1.09092330932617,7.88360023498535,0.651208877563477
"175","E8","BS",9,25.1689357757568,NA,28.0346012115479,30.9269104003906,2.86566543579102,NA,2.75797462463379
"176","E8","BW",12,27.2661170959473,NA,NA,NA,NA,NA,NA
"177","E9","BS",3,25.3029727935791,31.6905479431152,26.7950305938721,31.6369686126709,1.49205780029297,6.38757514953613,3.3339958190918
"178","E9","BS",6,25.8106708526611,33.1648368835449,27.2548122406006,29.8941135406494,1.44414138793945,7.35416603088379,1.08344268798828
"179","E9","BS",9,25.1764793395996,31.9013557434082,27.978832244873,31.0495910644531,2.80235290527344,6.72487640380859,2.87311172485352
"180","E9","BW",12,27.4026393890381,33.5447044372559,NA,NA,NA,6.14206504821777,NA
"181","F1","BS",7,25.43115234375,NA,27.6948738098145,30.2369384765625,2.26372146606445,NA,1.8057861328125
"182","F1","BS",10,26.3412208557129,33.6619911193848,29.1229248046875,NA,2.78170394897461,7.32077026367188,NA
"183","F1","BW",1,27.132568359375,31.7480411529541,NA,NA,NA,4.6154727935791,NA
"184","F1","BW",4,26.7164306640625,30.5353221893311,NA,NA,NA,3.81889152526855,NA
"185","F2","BS",7,25.3857173919678,32.0766983032227,27.747688293457,30.5266456604004,2.36197090148926,6.69098091125488,2.14092826843262
"186","F2","BS",10,26.3376865386963,NA,28.9779529571533,32.4072685241699,2.64026641845703,NA,3.06958198547363
"187","F2","BW",1,26.9982509613037,NA,NA,NA,NA,NA,NA
"188","F2","BW",4,26.6071376800537,30.5883464813232,NA,NA,NA,3.98120880126953,NA
"189","F3","BS",7,25.3826236724854,31.914026260376,27.518871307373,30.5029296875,2.1362476348877,6.53140258789062,2.12030601501465
"190","F3","BS",10,26.3972110748291,33.0976028442383,28.7585220336914,32.1986656188965,2.3613109588623,6.70039176940918,2.80145454406738
"191","F3","BW",1,26.9311065673828,32.5778427124023,NA,NA,NA,5.64673614501953,NA
"192","F3","BW",4,26.5221481323242,30.6894378662109,NA,NA,NA,4.16728973388672,NA
"193","F4","BS",2,25.7241840362549,32.1718597412109,27.1046142578125,NA,1.38043022155762,6.44767570495605,NA
"194","F4","BS",11,26.2656173706055,NA,29.9149208068848,32.9286231994629,3.6493034362793,NA,3.66300582885742
"195","F4","BW",5,26.2362823486328,30.9259910583496,NA,NA,NA,4.6897087097168,NA
"196","F4","BW",8,25.3557453155518,31.1619434356689,NA,NA,NA,5.80619812011719,NA
"197","F5","BS",2,25.7461814880371,31.7176876068115,26.9866008758545,33.4819412231445,1.24041938781738,5.97150611877441,4.73575973510742
"198","F5","BS",11,26.0588665008545,NA,29.4048652648926,NA,3.34599876403809,NA,NA
"199","F5","BW",5,26.1765918731689,30.8681240081787,NA,NA,NA,4.69153213500977,NA
"200","F5","BW",8,25.2812423706055,30.8000259399414,NA,NA,NA,5.51878356933594,NA
"201","F6","BS",2,25.8994827270508,NA,26.9756603240967,33.5835227966309,1.0761775970459,NA,4.68404006958008
"202","F6","BS",11,25.9449119567871,NA,29.0930728912354,33.5139312744141,3.14816093444824,NA,4.56901931762695
"203","F6","BW",5,26.1606693267822,31.1268920898438,NA,NA,NA,4.96622276306152,NA
"204","F6","BW",8,25.2682704925537,NA,NA,NA,NA,NA,NA
"205","F7","BS",12,27.3038101196289,NA,29.77712059021,31.1052951812744,2.47331047058105,NA,0.801485061645508
"206","F7","BW",3,25.5935573577881,31.5238018035889,NA,NA,NA,5.93024444580078,NA
"207","F7","BW",6,25.9970874786377,30.9626007080078,NA,NA,NA,4.96551322937012,NA
"208","F7","BW",9,24.7960205078125,30.3880176544189,NA,NA,NA,5.59199714660645,NA
"209","F8","BS",12,27.4633636474609,NA,29.3556079864502,30.5940608978271,1.89224433898926,NA,0.130697250366211
"210","F8","BW",3,25.454122543335,31.6313629150391,NA,NA,NA,6.1772403717041,NA
"211","F8","BW",6,26.7668724060059,30.7768955230713,NA,NA,NA,4.01002311706543,NA
"212","F8","BW",9,24.7540855407715,NA,NA,NA,NA,NA,NA
"213","F9","BS",12,27.3521347045898,NA,29.3283214569092,31.4423732757568,1.97618675231934,NA,1.09023857116699
"214","F9","BW",3,25.5538005828857,31.4800071716309,NA,NA,NA,5.92620658874512,NA
"215","F9","BW",6,25.9831809997559,NA,NA,NA,NA,NA,NA
"216","F9","BW",9,24.717435836792,29.9156246185303,NA,NA,NA,5.19818878173828,NA
"217","G1","BS",7,25.602725982666,33.6929702758789,27.6241703033447,30.8308715820312,2.02144432067871,8.09024429321289,2.22814559936523
"218","G1","BW",1,27.1337795257568,32.7794761657715,NA,NA,NA,5.64569664001465,NA
